Firstname	nconst	tconst	rating	imdbid	id	title	year	directors	writers	averageRating	numVotes	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	Lastname	birthYear	deathYear	primaryProfession	knownForTitles	name	proportion_male	proportion_female	gender	year_min	year_max
Georges	nm0617588	tt0000246	0	0000246	4994	A Turn of the Century Illusionist	1899	nm0617588	\N	6.5	752	short	A Turn of the Century Illusionist	L'impressionniste fin de siècle	0	1899	\N	1	Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0135122	0	0135122	5603	Hilarious Posters, The	1906	nm0617588	\N	6.3	732	short	The Hilarious Posters	Les affiches en goguette	0	1906	\N	3	Comedy,Fantasy,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0189498	0	0189498	5683	Enchanted Well, The	1903	nm0617588	\N	6.1	293	short	The Enchanted Well	Le puits fantastique	0	1903	\N	4	Drama,Fantasy,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0215664	0	0215664	5224	Cook in Trouble, The	1904	nm0617588	\N	6.1	636	short	The Cook in Trouble	Sorcellerie culinaire	0	1904	\N	4	Comedy,Fantasy,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0215737	0	0215737	5223	Eclipse: Courtship of the Sun and Moon, The	1907	nm0617588	\N	6.5	901	short	The Eclipse: Courtship of the Sun and Moon	L'éclipse du soleil en pleine lune	0	1907	\N	9	Fantasy,Romance,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0597597	tt0277596	1	0277596	6211	Le barometre de la fidelite	1909	nm0597597	\N	6.4	33	short	Le baromètre de la fidélité	Le baromètre de la fidélité	0	1909	\N	15	Comedy,Short	Monca	1867	1939	director,writer,actor	tt0194128,tt0169683,tt0333639,tt0143855	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0000499	0	0000499	6135	Le voyage a travers l&#39;impossible	1904	nm0617588	nm0617588,nm0894523,nm0257866	7.7	2565	short	An Impossible Voyage	Le voyage à travers l'impossible	0	1904	\N	24	Adventure,Fantasy,Sci-Fi	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0229024	0	0229024	5431	Gulliver&#39;s Travels	1902	nm0617588	nm0842605	6.6	580	short	Gulliver's Travels	Le voyage de Gulliver à Lilliput et chez les géants	0	1902	\N	4	Fantasy,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0000455	0	0000455	5063	Music Lover, The	1903	nm0617588	\N	6.9	1408	short	The Music Lover	Le mélomane	0	1903	\N	3	Comedy,Music,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0216016	0	0216016	5024	Mysterious Retort, The	1906	nm0617588	\N	5.8	463	short	The Mysterious Retort	Alchimiste Parafaragaramus ou La cornue infernale	0	1906	\N	3	Fantasy,Mystery,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0131934	0	0131934	5500	Bluebeard	1901	nm0617588	nm0617588,nm0674518	7.1	1153	short	Bluebeard	Barbe-bleue	0	1901	\N	12	Horror,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0227438	0	0227438	5446	Doctor and the Monkey, The	1900	nm0617588	\N	5.1	198	short	The Doctor and the Monkey	Le savant et le chimpanze	0	1900	\N	1	Comedy,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0003512	0	0003512	5364	Voyage of the Bourrichon Family, The	1913	nm0617588	\N	5.3	87	short	The Voyage of the Bourrichon Family	Le voyage de la famille Bourrichon	0	1913	\N	15	Comedy,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0000359	0	0000359	4995	L&#39;homme a la tete en caoutchouc	1901	nm0617588	\N	7.2	1929	short	The India Rubber Head	L'homme à la tête en caoutchouc	0	1901	\N	3	Comedy,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0000091	0	0000091	4982	House of the Devil, The	1896	nm0617588	nm0617588	6.7	1972	short	The House of the Devil	Le manoir du diable	0	1896	\N	3	Horror,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0135179	0	0135179	5404	Living Playing Cards, The	1904	nm0617588	\N	6.7	1101	short	The Living Playing Cards	Les cartes vivantes	0	1904	\N	3	Comedy,Fantasy,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0127948	0	0127948	5635	Devilish Tenant, The	1909	nm0617588	\N	7.3	1315	short	The Devilish Tenant	Le locataire diabolique	0	1909	\N	6	Comedy,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0290802	tt0053459	3	0053459	656	Les yeux sans visage	1960	nm0290802	nm0715118,nm0092267,nm0092268,nm0767110,nm0309039	7.8	19837	movie	Eyes Without a Face	Les yeux sans visage	0	1960	\N	90	Drama,Horror	Franju	1912	1987	director,writer,composer	tt0053459,tt0056581,tt0041842,tt0044671	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0215817	0	0215817	5615	Good Glue Sticks	1907	nm0617588	\N	5.5	454	short	Good Glue Sticks	La colle universelle	0	1907	\N	5	Comedy,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0000131	0	0000131	5406	Une nuit terrible	1896	nm0617588	\N	5.8	741	short	A Terrible Night	Une nuit terrible	0	1896	\N	1	Comedy,Horror,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0135631	0	0135631	5601	Untamable Whiskers, The	1904	nm0617588	\N	6.4	839	short	The Untamable Whiskers	Le roi du maquillage	0	1904	\N	3	Fantasy,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0135696	0	0135696	4978	Four Heads Are Better Than One	1898	nm0617588	\N	7.6	2318	short	Four Heads Are Better Than One	Un homme de têtes	0	1898	\N	1	Comedy,Horror,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0223755	0	0223755	5064	Monster, The	1903	nm0617588	\N	6.4	837	short	The Monster	Le monstre	0	1903	\N	3	Fantasy,Horror,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0135690	0	0135690	5003	Scheming Gambler&#39;s Paradise, The	1905	nm0617588	\N	6.1	628	short	The Scheming Gambler's Paradise	Le tripot clandestin	0	1905	\N	3	Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georges	nm0617588	tt0000567	0	0000567	5684	400 Tricks of the Devil, The	1906	nm0617588	nm0182945,nm9551905	6.8	687	short	The 400 Tricks of the Devil	Les quatre cents farces du diable	0	1906	\N	17	Fantasy,Horror,Short	Méliès	1861	1938	director,actor,producer	tt0002113,tt0000567,tt0000499,tt0000417	Georges	1	0	male	1880	1992
Georgina	nm0510022	tt0932669	3	0932669	4730	Older Than America	2008	nm0510022	nm0510022,nm0907622	5.6	772	movie	Older Than America	Older Than America	0	2008	\N	102	Drama	Lightning	NA	\N	actress,producer,director	tt0250451,tt0143808,tt0932669,tt0186202	Georgina	0	1	female	1880	1992
Gerald	nm0858873	tt0056912	3	0056912	2772	Carry on Cabby	1963	nm0858873	nm0745349,nm0338313,nm0385139	6.4	1869	movie	Carry on Cabby	Carry on Cabby	0	1963	\N	91	Adventure,Comedy,Romance	Thomas	1920	1993	director,producer,editor	tt0064133,tt0062782,tt0060214,tt0057918	Gerald	0.9946	0.0054	male	1880	1992
Gerald	nm0858873	tt0057918	1	0057918	4673	Carry On Cleo	1964	nm0858873	nm0745349,nm0000636	6.8	3301	movie	Carry on Cleo	Carry on Cleo	0	1964	\N	92	Comedy,History	Thomas	1920	1993	director,producer,editor	tt0064133,tt0062782,tt0060214,tt0057918	Gerald	0.9946	0.0054	male	1880	1992
Gerald	nm0573389	tt0893402	2	0893402	584	Franklyn	2008	nm0573389	nm0573389	6.2	15652	movie	Franklyn	Franklyn	0	2008	\N	98	Drama,Fantasy,Sci-Fi	McMorrow	NA	\N	director,writer,soundtrack	tt0893402,tt5641926,tt7352794,tt0451227	Gerald	0.9946	0.0054	male	1880	1992
Gerald	nm0858873	tt0062782	3	0062782	3626	Carry On... Up the Khyber	1968	nm0858873	nm0745349,nm0488672	6.9	3761	movie	Carry On... Up the Khyber	Carry On... Up the Khyber	0	1968	\N	88	Adventure,Comedy	Thomas	1920	1993	director,producer,editor	tt0064133,tt0062782,tt0060214,tt0057918	Gerald	0.9946	0.0054	male	1880	1992
Gerard	nm0198790	tt0068468	3	0068468	6811	Deep Throat	1972	nm0198790	nm0198790	5.2	5852	movie	Deep Throat	Deep Throat	1	1972	\N	61	Adult,Comedy	Damiano	1928	2008	director,writer,producer	tt0139421,tt0068468,tt0183889,tt0069969	Gerard	0.9979	0.0021	male	1880	1992
Germaine	nm0241273	tt0013626	3	0013626	5888	La souriante Madame Beudet	1923	nm0241273	nm0024853,nm0241273,nm0643375	6.8	1530	movie	The Smiling Madame Beudet	La souriante Madame Beudet	0	1923	\N	54	Drama	Dulac	1882	1942	director,writer,producer	tt0013626,tt0017775,tt0016564,tt0132246	Germaine	0.1756	0.8244	female	1880	1992
Gerry	nm0110133	tt0059607	3	0059607	3828	Pleasure Girls, The	1965	nm0110133	nm0110133	5.9	117	movie	The Pleasure Girls	The Pleasure Girls	0	1965	\N	88	Drama	O'Hara	NA	\N	assistant_director,miscellaneous,director	tt0078867,tt0053804,tt0098090,tt0064004	Gerry	0.673	0.327	male	1880	1992
Gia	nm0178886	tt2479800	3	2479800	5526	Palo Alto	2013	nm0178886	nm0178886,nm0290556	6.3	23646	movie	Palo Alto	Palo Alto	0	2013	\N	100	Drama	Coppola	1987	\N	director,actress,writer	tt4147706,tt2479800,tt4462410,tt4536118	Gia	0.0017	0.9983	female	1880	1992
Gianni	nm0223924	tt1277728	3	1277728	4935	Mid-August Lunch	2008	nm0223924	nm0223924,nm3103905	7	3442	movie	Mid-August Lunch	Pranzo di ferragosto	0	2008	\N	75	Comedy,Drama	Di	1949	\N	writer,actor,director	tt0929425,tt4078672,tt1277728,tt1813327	Gianni	0.8492	0.1508	male	1880	1992
Gil	nm1481493	tt0385880	3	0385880	3661	Monster House	2006	nm1481493	nm1363595,nm1041479,nm0972040	6.6	81805	movie	Monster House	Monster House	0	2006	\N	91	Adventure,Animation,Comedy	Kenan	1976	\N	director,writer,soundtrack	tt0385880,tt1029360,tt4589218,tt0970411	Gil	1	0	male	1880	1992
Gil	nm1481493	tt0970411	3	0970411	1013	City of Ember	2008	nm1481493	nm0003031,nm2558309	6.5	57006	movie	City of Ember	City of Ember	0	2008	\N	90	Adventure,Family,Fantasy	Kenan	1976	\N	director,writer,soundtrack	tt0385880,tt1029360,tt4589218,tt0970411	Gil	1	0	male	1880	1992
Gil	nm0432627	tt0147800	3	0147800	374	10 Things I Hate About You	1999	nm0432627	nm0527581,nm0809006,nm0000636	7.2	249377	movie	10 Things I Hate About You	10 Things I Hate About You	0	1999	\N	97	Comedy,Drama,Romance	Junger	1954	\N	director,producer,miscellaneous	tt0265087,tt0332136,tt0366025,tt0147800	Gil	1	0	male	1880	1992
Gilbert	nm0695456	tt0008844	0	0008844	5441	Are Crooks Dishonest?	1918	nm0695456	\N	6.2	232	short	Are Crooks Dishonest?	Are Crooks Dishonest?	0	1918	\N	13	Comedy,Short	Pratt	1892	1954	director,writer,actor	tt0008844,tt0008961,tt0013416,tt0009434	Gilbert	0.9944	0.0056	male	1880	1992
Gilles	nm0660707	tt1668200	3	1668200	1742	Elle s&#39;appelait Sarah (Sarah&#39;s key)	2010	nm0660707	nm4058200,nm1930728,nm0660707	7.5	14208	movie	Sarah's Key	Elle s'appelait Sarah	0	2010	\N	111	Drama,War	Paquet-Brenner	NA	\N	director,writer,cinematographer	tt1668200,tt1104006,tt2402101,tt0263496	Gilles	1	0	male	1880	1992
Gilles	nm0099841	tt2150332	3	2150332	4348	Renoir	2012	nm0099841	nm0719755,nm0099841,nm0867374,nm0818996	6.5	4366	movie	Renoir	Renoir	0	2012	\N	111	Biography,Drama,History	Bourdos	NA	\N	writer,director	tt2150332,tt5539466,tt0339204,tt0940580	Gilles	1	0	male	1880	1992
Gillian	nm0000788	tt0079596	3	0079596	4797	My Brilliant Career	1979	nm0000788	nm0291504,nm0936674	7.3	2850	movie	My Brilliant Career	My Brilliant Career	0	1979	\N	100	Biography,Drama,Romance	Armstrong	1950	\N	director,producer,writer	tt0110367,tt0245046,tt0472071,tt0119843	Gillian	0.0062	0.9938	female	1880	1992
Gillian	nm0000788	tt0110367	3	0110367	960	Little Women	1994	nm0000788	nm0017301,nm0842523	7.3	40328	movie	Little Women	Little Women	0	1994	\N	115	Drama,Family,Romance	Armstrong	1950	\N	director,producer,writer	tt0110367,tt0245046,tt0472071,tt0119843	Gillian	0.0062	0.9938	female	1880	1992
Gillian	nm0000788	tt0245046	3	0245046	6129	Charlotte Gray	2001	nm0000788	nm0269127,nm0110591	6.4	9580	movie	Charlotte Gray	Charlotte Gray	0	2001	\N	121	Drama,Romance,Thriller	Armstrong	1950	\N	director,producer,writer	tt0110367,tt0245046,tt0472071,tt0119843	Gillian	0.0062	0.9938	female	1880	1992
Gillian	nm0000788	tt0472071	3	0472071	3013	Death Defying Acts	2007	nm0000788	nm0342617,nm0911422	5.8	8929	movie	Death Defying Acts	Death Defying Acts	0	2007	\N	97	Drama,History,Romance	Armstrong	1950	\N	director,producer,writer	tt0110367,tt0245046,tt0472071,tt0119843	Gillian	0.0062	0.9938	female	1880	1992
Gillian	nm0000788	tt0095305	3	0095305	2665	High Tide	1987	nm0000788	nm0428630	7.3	659	movie	High Tide	High Tide	0	1987	\N	101	Drama	Armstrong	1950	\N	director,producer,writer	tt0110367,tt0245046,tt0472071,tt0119843	Gillian	0.0062	0.9938	female	1880	1992
Gina	nm0697656	tt0199725	3	0199725	2646	Love &amp; Basketball	2000	nm0697656	nm0697656	7.2	15700	movie	Love & Basketball	Love & Basketball	0	2000	\N	124	Drama,Romance,Sport	Prince-Bythewood	1969	\N	writer,producer,director	tt3125324,tt0199725,tt0416212,tt5093452	Gina	0.0029	0.9971	female	1880	1992
Gina	nm0697656	tt3125324	3	3125324	5817	Beyond the Lights	2014	nm0697656	nm0697656	6.9	12987	movie	Beyond the Lights	Beyond the Lights	0	2014	\N	116	Drama,Music,Romance	Prince-Bythewood	1969	\N	writer,producer,director	tt3125324,tt0199725,tt0416212,tt5093452	Gina	0.0029	0.9971	female	1880	1992
Gina	nm0697656	tt0416212	3	0416212	927	Secret Life of Bees, The	2008	nm0697656	nm0697656,nm1650330	7.3	21490	movie	The Secret Life of Bees	The Secret Life of Bees	0	2008	\N	114	Drama	Prince-Bythewood	1969	\N	writer,producer,director	tt3125324,tt0199725,tt0416212,tt5093452	Gina	0.0029	0.9971	female	1880	1992
Giorgia	nm2782251	tt2343371	3	2343371	4379	Amiche da morire	2013	nm2782251	nm0094565,nm2782251	6.3	624	movie	Amiche da morire	Amiche da morire	0	2013	\N	103	Comedy	Farina	NA	\N	director,writer,actress	tt1311019,tt2343371,tt1110288,tt4571838	Giorgia	0	1	female	1880	1992
Giulio	nm0678101	tt0064208	0	0064208	6910	Death Rides a Horse	1966	nm0678101	nm0898812	7.2	5468	movie	Death Rides a Horse	Da uomo a uomo	0	1967	\N	120	Western	Petroni	1917	2010	director,writer,assistant_director	tt0148539,tt0161421,tt0064208,tt0069468	Giulio	1	0	male	1880	1992
Giuseppe	nm0868153	tt0213847	3	0213847	5299	Mal&egrave;na	2000	nm0868153	nm0868153,nm0898812	7.5	73391	movie	Malèna	Malèna	0	2000	\N	109	Comedy,Drama,Romance	Tornatore	1956	\N	writer,director,producer	tt0213847,tt0120731,tt0095765,tt1924396	Giuseppe	1	0	male	1880	1992
Giuseppe	nm0868153	tt0095765	1	0095765	4998	Cinema Paradiso	1988	nm0868153	nm0868153,nm0660031,nm0258268	8.5	177155	movie	Cinema Paradiso	Nuovo Cinema Paradiso	0	1988	\N	155	Drama	Tornatore	1956	\N	writer,director,producer	tt0213847,tt0120731,tt0095765,tt1924396	Giuseppe	1	0	male	1880	1992
Giuseppe	nm0273980	tt0090805	0	0090805	6711	Il caso Moro	1986	nm0273980	nm0441828,nm0049833,nm0273980,nm0778432	7.2	294	movie	Il caso Moro	Il caso Moro	0	1986	\N	110	Crime,Drama,History	Ferrara	1932	2016	director,writer,actor	tt0087039,tt0126320,tt0104971,tt0090805	Giuseppe	1	0	male	1880	1992
Giuseppe	nm0868153	tt0494271	3	0494271	6168	Unknown Woman, The	2006	nm0868153	nm0868153,nm0211160	7.5	11196	movie	The Unknown Woman	La sconosciuta	0	2006	\N	118	Drama,Mystery,Thriller	Tornatore	1956	\N	writer,director,producer	tt0213847,tt0120731,tt0095765,tt1924396	Giuseppe	1	0	male	1880	1992
Giuseppe	nm3321297	tt1379222	3	1379222	2884	Double Hour, The	2009	nm3321297	nm1453153,nm2002638,nm2827922	6.7	3256	movie	The Double Hour	La doppia ora	0	2009	\N	95	Crime,Drama,Mystery	Capotondi	NA	\N	director,writer	tt7197684,tt4486842,tt2265100,tt1379222	Giuseppe	1	0	male	1880	1992
Glen	nm0604688	tt0454082	3	0454082	1873	Black Christmas	2006	nm0604688	nm0604688,nm0600860	4.6	21773	movie	Black Christmas	Black Christmas	0	2006	\N	84	Horror	Morgan	1947	\N	producer,writer,miscellaneous	tt0106179,tt0195714,tt0414982,tt0267804	Glen	0.989	0.011	male	1880	1992
Glenn	nm0139111	tt0119896	3	0119896	5172	Picture Perfect	1997	nm0139111	nm0815071,nm0805284,nm0703515,nm0139111	5.5	17133	movie	Picture Perfect	Picture Perfect	0	1997	\N	105	Comedy,Drama,Romance	Gordon	NA	\N	writer,producer,director	tt0088571,tt0119896,tt0212395,tt0412175	Glenn	0.9915	0.0085	male	1880	1992
Glenn	nm1137264	tt0902290	1	0902290	3457	I Sell the Dead	2008	nm1137264	nm1137264,nm7718357	6.1	9851	movie	I Sell the Dead	I Sell the Dead	0	2008	\N	85	Comedy,Horror	McQuaid	1973	\N	visual_effects,miscellaneous,director	tt0454864,tt2105044,tt1464580,tt0902290	Glenn	0.9915	0.0085	male	1880	1992
Godfrey	nm0716585	tt0145937	0	0145937	4680	Naqoyqatsi	2002	nm0716585	nm0716585	6.7	4619	movie	Naqoyqatsi	Naqoyqatsi	0	2002	\N	89	Documentary,Music	Reggio	1940	\N	director,writer,producer	tt0145937,tt0085809,tt0095895,tt0101349	Godfrey	1	0	male	1880	1992
Godfrey	nm0716585	tt0085809	0	0085809	4079	Koyaanisqatsi	1982	nm0716585	nm0294825,nm0006129,nm0716585,nm0909479	8.3	29565	movie	Koyaanisqatsi	Koyaanisqatsi	0	1982	\N	86	Documentary,Music	Reggio	1940	\N	director,writer,producer	tt0145937,tt0085809,tt0095895,tt0101349	Godfrey	1	0	male	1880	1992
Godfrey	nm0061792	tt0199849	2	0199849	7703	Ninja Terminator	1985	nm0061792	nm0007554,nm0061792,nm1892366	4.7	902	movie	Ninja Terminator	Ninja Terminator	0	1985	\N	88	Action,Adventure	Ho	NA	\N	director,writer,assistant_director	tt0066151,tt0201983,tt0199861,tt0199849	Godfrey	1	0	male	1880	1992
Gonzalo	nm0840779	tt0093840	2	0093840	7423	Remando al viento [Rowing with the Wind]	1988	nm0840779	nm0840779	6	765	movie	Rowing with the Wind	Remando al viento	0	1988	\N	126	Drama,Horror,Mystery	Suárez	1934	\N	writer,director,actor	tt0109612,tt0093840,tt0101755,tt0085499	Gonzalo	1	0	male	1880	1992
Goran	nm1058247	tt0477139	1	0477139	2616	Wristcutters: A Love Story	2006	nm1058247	nm1058247,nm0449316	7.3	49238	movie	Wristcutters: A Love Story	Wristcutters: A Love Story	0	2006	\N	88	Comedy,Drama,Fantasy	Dukic	NA	\N	director,writer,editor	tt0477139,tt0297176,tt0308586,tt2606344	Goran	1	0	male	1880	1992
Gordon	nm0235066	tt0047573	1	0047573	2158	Them!	1954	nm0235066	nm0792090,nm0400914,nm0946753	7.3	16531	movie	Them!	Them!	0	1954	\N	94	Horror,Sci-Fi	Douglas	1907	1993	director,actor,writer	tt0278213,tt0061810,tt0058529,tt0047573	Gordon	0.9955	0.0045	male	1880	1992
Gordon	nm0150906	tt0100963	2	0100963	3556	King of Beggars	1992	nm0150906	nm0150977,nm0150906	6.9	2651	movie	King of Beggars	Mo jong yuen So Hat-Yi	0	1992	\N	101	Action,Comedy,Drama	Chan	NA	\N	writer,producer,director	tt0110200,tt1055300,tt0288045,tt0114126	Gordon	0.9955	0.0045	male	1880	1992
Gordon	nm0662953	tt0067741	1	0067741	2751	Shaft	1971	nm0662953	nm0862781,nm0085353	6.6	13328	movie	Shaft	Shaft	0	1971	\N	100	Action,Crime,Thriller	Parks	1912	2006	director,actor,writer	tt0067741,tt0069257,tt0064579,tt0411376	Gordon	0.9955	0.0045	male	1880	1992
Grace	nm0497333	tt0765430	3	0765430	5045	American Zombie	2007	nm0497333	nm0497333,nm0814412	5.1	1077	movie	American Zombie	American Zombie	0	2007	\N	90	Comedy,Drama,Horror	Lee	NA	\N	director,producer,writer	tt2379438,tt2385558,tt0334928,tt0765430	Grace	0.0035	0.9965	female	1880	1992
Graeme	nm0166625	tt0083967	3	0083967	4844	Frances	1982	nm0166625	nm0075015,nm0212246,nm0443582	7.4	5892	movie	Frances	Frances	0	1982	\N	140	Biography,Drama,Romance	Clifford	1942	\N	director,editor,assistant_director	tt0083967,tt0097438,tt0136646,tt0107999	Graeme	1	0	male	1880	1992
Graham	nm0048491	tt0094631	1	0094631	2784	Alien Nation	1988	nm0048491	nm0639328	6.3	12409	movie	Alien Nation	Alien Nation	0	1988	\N	91	Action,Sci-Fi	Baker	NA	\N	director,writer,producer	tt0087464,tt0082377,tt0094631,tt0120604	Graham	0.9978	0.0022	male	1880	1992
Grant	nm0367538	tt2336846	1	2336846	7807	She Made Them Do It	2013	nm0367538	nm0862787	6.4	1116	tvMovie	She Made Them Do It	She Made Them Do It	0	2013	\N	90	Crime,Drama	Harvey	1966	\N	director,producer,writer	tt2336846,tt0365265,tt3688406,tt1094229	Grant	0.9973	0.0027	male	1880	1992
Grant	nm0381416	tt1234548	0	1234548	548	Men Who Stare at Goats, The	2009	nm0381416	nm0740161,nm1661186	6.2	116380	movie	The Men Who Stare at Goats	The Men Who Stare at Goats	0	2009	\N	94	Comedy,War	Heslov	1963	\N	actor,producer,director	tt2177771,tt0433383,tt0111503,tt1024648	Grant	0.9973	0.0027	male	1880	1992
Greg	nm0609549	tt0829482	2	0829482	651	Superbad	2007	nm0609549	nm0736622,nm1698571	7.6	457227	movie	Superbad	Superbad	0	2007	\N	113	Comedy	Mottola	1964	\N	director,producer,writer	tt0829482,tt1092026,tt2387499,tt1091722	Greg	0.9981	0.0019	male	1880	1992
Greg	nm0609549	tt2387499	3	2387499	7727	Keeping Up with the Joneses	2016	nm0609549	nm1942829	5.9	44021	movie	Keeping Up with the Joneses	Keeping Up with the Joneses	0	2016	\N	105	Action,Comedy	Mottola	1964	\N	director,producer,writer	tt0829482,tt1092026,tt2387499,tt1091722	Greg	0.9981	0.0019	male	1880	1992
Greg	nm1256147	tt0480345	3	0480345	5166	Barbie and the Magic of Pegasus	2005	nm1256147	nm0504327,nm0748429	6.4	2026	video	Barbie and the Magic of Pegasus 3-D	Barbie and the Magic of Pegasus 3-D	0	2005	\N	83	Animation,Family,Romance	Richardson	NA	\N	director,editor,writer	tt0859594,tt1092053,tt0480345,tt1764482	Greg	0.9981	0.0019	male	1880	1992
Greg	nm0730355	tt1314645	3	1314645	4322	C Me Dance	2009	nm0730355	nm0730355	1.4	348	movie	C Me Dance	C Me Dance	0	2009	\N	89	Drama,Thriller	Robbins	1959	\N	producer,director,writer	tt2592962,tt0770633,tt4449516,tt0088247	Greg	0.9981	0.0019	male	1880	1992
Greg	nm0572562	tt0416315	3	0416315	7198	Wolf Creek	2005	nm0572562	nm0572562	6.3	60268	movie	Wolf Creek	Wolf Creek	0	2005	\N	99	Horror	McLean	NA	\N	writer,producer,director	tt1082807,tt3758172,tt0479528,tt0416315	Greg	0.9981	0.0019	male	1880	1992
Greg	nm1256147	tt0859594	3	0859594	5549	Barbie in the 12 Dancing Princesses	2006	nm1256147	nm0504327,nm0748429	6.6	2328	video	Barbie in the 12 Dancing Princesses	Barbie in the 12 Dancing Princesses	0	2006	\N	83	Animation,Family	Richardson	NA	\N	director,editor,writer	tt0859594,tt1092053,tt0480345,tt1764482	Greg	0.9981	0.0019	male	1880	1992
Greg	nm0657062	tt0301777	3	0301777	6698	Robot Stories	2003	nm0657062	nm0657062	5.8	1344	movie	Robot Stories	Robot Stories	0	2003	\N	85	Drama,Romance,Sci-Fi	Pak	NA	\N	writer,director,editor	tt0301777,tt0195704,tt0311543,tt1483025	Greg	0.9981	0.0019	male	1880	1992
Greg	nm0609549	tt0116041	3	0116041	5778	Daytrippers, The	1996	nm0609549	nm0609549	6.9	3604	movie	The Daytrippers	The Daytrippers	0	1996	\N	87	Comedy,Drama	Mottola	1964	\N	director,producer,writer	tt0829482,tt1092026,tt2387499,tt1091722	Greg	0.9981	0.0019	male	1880	1992
Greg	nm0609549	tt2279864	2	2279864	4492	Clear History	2013	nm0609549	nm0202970,nm0073688,nm0541635,nm0769840	6.5	15457	tvMovie	Clear History	Clear History	0	2013	\N	101	Comedy	Mottola	1964	\N	director,producer,writer	tt0829482,tt1092026,tt2387499,tt1091722	Greg	0.9981	0.0019	male	1880	1992
Greg	nm0463473	tt0377683	0	0377683	1538	Connie Gomper &amp; the Pack	1996	nm0463473	\N	8.8	6	video	Connie Gomper & the Pack	Connie Gomper & the Pack	0	1996	\N	\N	\N	Kohs	NA	\N	director,writer,producer	tt6700846,tt4292088,tt3288930,tt1152789	Greg	0.9981	0.0019	male	1880	1992
Gregg	nm0000777	tt0127296	3	0127296	3765	Splendor	1999	nm0000777	nm0000777,nm0137075	5.9	2776	movie	Splendor	Splendor	0	1999	\N	93	Comedy,Romance	Araki	1959	\N	director,producer,writer	tt0112887,tt2238050,tt1523483,tt0370986	Gregg	0.9968	0.0032	male	1880	1992
